Номер,Наименование моста,Время первой разводки,Время первой сводки,Время второй разводки,Время второй сводки,Координаты
1,Володарский мост,2.00,3.45,4.15,5.45,"59.877728,30.453355"
2,мост Александра Невского,2.20,5.10,-,-,"59.92594,30.396609"
3,Большеохтинский мост,2.00,5.00,-,-,"59.942638,30.401199"
4,Литейный мост,1.40,4.45,-,-,"59.951907,30.349492"
5,Троицкий мост,1.20,4.50,None,None,"59.948776,30.327501"
6,Дворцовый мост,1.10,2.50,3.10,4.55,"59.941155,30.308035"
7,Благовещенский мост,1.25,2.45,3.10,5.00,"59.934786,30.289512"
8,Биржевой мост,2.00,4.55,-,-,"59.946297,30.303426"
9,Тучков мост,2.00,2.55,3.35,4.55,"59.948893,30.285613"
10,Финляндский (железнодорожный),2.20,5.30,-,-,"59.915481,30.409742"
11,Сампсониевский мост по предварительной заявке за 2 суток,1.30,4.30,-,-,"59.957989,30.337455"
12,Гренадерский мост по предварительной заявке за 2 суток,1.30,4.30,-,-,"59.967993,30.334553"
13,Кантемировский мост по предварительной заявке за 2 суток,1.30,4.30,-,-,"59.97848,30.321797"
